Name,What do you think is causing the UMEs in the Indian River lagoon,Species selected,Why do you think [species] is the most important to focus on?,Hypothesis?,Rationale for choosin hypothesis,How can I test my hypothesis?,Test1,Test1look_for,Test1conclusion_text,Test2,Test2look_for,Test2conclusion_text,Test3,Test3look_for,Test3conclusion_text,Test4,Test4look_for,Test4conclusion_text,Test5,Test5look_for,Test5conclusion_text,What observations did you make that supported your hypothesis?,What observations did you make that would support another hypothesis?,Do you think your hypothesis was supported or refuted?,Why?,What can you conclude about the cause of the UME in [species]?,Do you think this is specific to [species]?,Why is it specific or not to [species]?,Do you think that the cause of the UME is the same or different in the Indian River Lagoon and along the East Coast?,Why is it the same or different?
mmmmm (1),ffff,Manatees,f,f,f,f,Look for Invasive Species,ddd, Do you think invasive species are contributing to the UME? Why?dd,Necropsy of Affected Manatees,ddd, Conclusions:dd,,,,,,,,,,,ddd,ddd,dd,dd,sdsa,asdsa,asa,ddd,ddd
saveitall (2),"I believe that the dolphins are dying off because of the sonar testing. The manatees are probably dying because of boat propellers and lack of sea grasses. The pelicans could be dying because the fish they are eating are contaminated. All in all, people are the cause for these deaths.",Manatees,"My team chose the manatee because they are easiest to get close to for research and because they are also extremely endangered. We also chose the manatee because they are directly dependent on sea grass, which means that studying the manatees could give us some insight into the sea grass problem as well.","My hypothesis is that if manatees are getting killed by boats and lack of sea grass, then if you create sanctuaries were there are no boats and there is an abundance of sea grass, then the manatees there will not die as quickly as the manatees outside of the sanctuary.","My rationale for choosing this hypothesis is that if you take away what is killing the manatees, then they won't die of anything other then old age.",I would like to test my hypothesis by creating a sanctuary for the manatees and then observing the populations both in and outside of the sanctuary.,Seagrass Examination,"We will look for a lacking in sea grass or a prop scar. A prop scar would be an indicator of careless boating and careless boating is one of the things we suspect of killing manatees, as well as a shortage of sea grass.","
                                                              What does this graph tell you:It has dropped extremely fast and extremely drastically.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes.
                                                              Why?Sea grass is the manatees main food source, so if they don't have as much sea grass they won't be able to eat as much. Therefore, they will all die.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?If the sea grass they  eat is in any way contaminated by pollutants then they will be poisoned and will all die.
                                                              How would you test to see if that is the cause?I would collect samples of sea grass and look for anything that could harm the manatees.",Necropsy of Affected Manatees,"We will look to see if the manatees had been poisoned by any contaminants. We could also dissect any dead manatees and look inside their stomachs. If the stomach is empty or if the stomach wall has begun to be eaten away by the stomach acids, then it is very likely that they were starving. We can also investigate further in an attempt to find the cause of death."," Conclusions:Manatees aren't supposed to eat red algae, yet they ate it anyway. That indicates that their natural food source, the sea grass, is lacking. Also it seems that there is a connection between their eating of Gracilaria and their indications of drowning. Our hypothesis is supported in the way that we know they do not have enough sea grass but it is refuted in the way that the sea grass wasn't really contaminated. Unless the red algae had been growing on the surface of the sea grass, so the manatees unknowingly consumed the dangerous plant.",Investigate Algal Blooms,We will look to see if there is red algae growing on the sea grass that the manatees need to eat.," Do you think algal blooms are contributing to the UME?Yes, I believe that algal blooms are contributing to the unusual mortality event because they are releasing a toxin and because they are blocking sunlight from getting to the sea grass. But, no, the red algae does not grow directly on the sea grass.",Analyze Water Quality,We can look to see if the toxins that the red algae is releasing is diminishing the water quality., Do you think water quality is contributing to the UME?All in all every animal is screwed if people don't get there freaking act together. Thank you and have a nice day. Bye. This is freaking depressing.,,,,,"There is a lack of sea grass, but they aren't being killed by boats. We found that red algae is causing them a lot of trouble in multiple different ways. This stinks as it is practically impossible to prevent. We should just kill all the humans. Then everyone will be happy.",People are causing problems. My new hypothesis is that if you kill all the humans then everyone would be happy.,Both. I like my new one better. I want to test it.,I want to test it very much.,IT'S PEOPLE!!!!! KILL THE HUMANS!!!!,Other species as well.,Because people are screwing with everyone. They are jerks,It is the same. People are evrywhere and killing everything. They must be eliminated.,Because. I said so.
twizzlers (3),"People, pollution, and algae",Manatees,because they are awesome,the sea grass is being destroyed by pollution and prop scars,Because the props are like lawn mowers to sea grass and pollution kills all of it.,by going to florida and test props on regular grass and see if it cuts,Necropsy of Affected Manatees,what's in it's stomach, Conclusions:no external injuries. yes,Seagrass Examination,algae,"
                                                              What does this graph tell you:the numbers are decreasing
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?manatees eat lots seagrass. If there is no seagrass, what are they going to eat? 
                                                              Why?because seagrass is the primary diet for manatees
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?if there is algae or chemicals, the manatees get sick
                                                              How would you test to see if that is the cause?by doing an autopsy on a manatee who supposedly died that way",,,,,,,,,,,the seagrass is decreasing fast,unhealthy or algae covered sea grass can also cause problems,supported,were right in every way,the diminishing population of seagrass is bringing manatees down with it,"definitely other species, because seagrass is so important",because so many species depend on seagrass to live,same,seagrass is the cause here too
Indian river manatees (4),"We think that the main cause if the unusual mortality event is human pollution,causing the base of the ecosystem, seagrass, to die.",Manatees,"Manatees are a lower part of the food chain but are not preyed upon. So, if they are dying at a faster rate than usual, then there is some cause other than natural enemies.","If the manatees are dying at a faster rate than usual, and the Indian River Lagoon is being polluted, then there is a strong possibility that the manatee deaths are being caused by pollution of water and food supplies.","Storm water is being directed to the Indian river lagoon filled with pollution,more than ever, and the seagrass absorbs the pollution which then the manatees eat",Take a bunch of dead manatees and dissect them in order and scan for pollutants. Well also compare water samples from today and the ones from five years ago,Necropsy of Affected Manatees,We will look forPollutants on the food that they eat, Conclusions:There was a larger than normal amount of algae in the stomachs as well as evidence of some drowning. This does not support our hypothesis as there are no indications of harmful chemicals or pollutants.,Analyze Water Quality,We will look for harmful pollutants and chemicals not commonly seen in the Indian River Lagoon.," Do you think water quality is contributing to the UME?Yes, the water quality is being affected by increases in temperature, bio chemicals, pollution, and salinity. All of this decreases the water clarity, and this can affect the survival of manatees.",,,,,,,,,,,             Increased pollution is dirtying the water also the pollution blocks of the lightwhich then allows,There were no harmful chemicals found inside the manatee which mean the chemicals are not effecting them,Supported,Are hypothesis was supported because because pollution clouds the water letting algae grow ,The manatees are dying as a cause of human fault.,Other species are being affected by this problem.,It is not specific to manatees as many species rely on sea grass.,"The cause of the Indian River and East Coast mortalities are roughly the same, human error.",It is the same as pollutants that cause pathogens that kill animals.
thestevens (5),Lack of sea grass.,Manatees,It has the lowest population.,The manatees are dying off because of lack of sea grass.,Manatees eat a lot of sea grass therefore if the sea grass population diminished  the manatees would too.,Study places that have a lot of sea grass and compare manatee population to places with minimal sea grass.,Necropsy of Affected Manatees,What is in their digestive track., Conclusions:The fact that they seem to have drowned and that their GI Tract is inflamed. This supports our hypothesis because it proves they are eating/drinking something that is not good.,Seagrass Examination,If there is algae on the sea grass.,"
                                                              What does this graph tell you:It has diminished greatly since 2009.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes.
                                                              Why?Because manatees eat a lot of sea grass.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?The manatees don't have anything to eat.
                                                              How would you test to see if that is the cause?See what the manatees are eating besides sea grass.",Investigate Algal Blooms,The amount of algal blooms., Do you think algal blooms are contributing to the UME?Yes because it can kill the sea grass population.,Analyze Water Quality,The quality of the water., Do you think water quality is contributing to the UME?Yes because the temperature could change and throw of the balance of the chemistry. ,,,,,The sea grass population has decreased a lot since 2009.,The temperature of the water could mess with the balance of the chemistry.,Supported.,The sea grass has declined a lot.,It is caused by lake of sea grass.,Other species as well.,It is not specific because lack of grass effects more than one species.,Yes.,Because temperature effects the chemistry of  the water which effects plant growth.
it dosent matter what the name is (6),"The run off, the polution, and human interferance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR (7),The run off water from fresh water runoff.,Manatees,Because they are endangered but might be taken off the endangered animal list and they need the sea grass the most for food. ,My hypothesis is that people are killing the sea grass and that is affecting the manatee because it needs to eat it.,We know the manatees eat the sea grass and if the pollution gets rid of the sea grass the manatees will die.,We will study manatees in a polluted habitat that people are harming and one in a healthy habitat and see how they thrive or don't thrive.,Necropsy of Affected Manatees,We will look for the manatee in polluted water to be unhealthy and have stunted growth., Conclusions:We noticed that it's lungs had indication of drowning and that is horrible.,Seagrass Examination,We will look to see if there are patches in the acres of sea grass and see if it is dying and if there are signs of boat marks on it.,"
                                                              What does this graph tell you:It has rapidly declined since 2009.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?Yes.
                                                              Why?Because that is the main part of a manatee's diet and fish use it as habitat.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?If there is a poisonous substance to manatees on the sea grass and the manatees eat it, they could die.
                                                              How would you test to see if that is the cause?We could see if there is a dangerous substance on any sea grass to manatees and if there is and a manatee eats it then we could see if it dies.",,,,,,,,,,,,,,,That their death was caused by the polluted sea grass,It includes other animals,It is not specific to manatees because other animals eat sea grass,I think it is the same,It is the same because the decline in sea grass is also present in the Indian River Lagoon
sillykids (8),"Loss of sea grass, pollution, loss of gender.",Bottlenose Dolphins,Their food is disapearing,The dolphins are dying because the lack of sea grass is making the fish go away.,"They eat fish, and the fish eat/live in sea grass.",Go there and watch the dolphins.,Necropsy of Affected Dolphins,"Dolphins that died because they're food wasn't available, so they had to eat something else.", Conclusions:The dolphins aren't being affected by algae or pollution; they might have starved.,,,,,,,,,,,,,,"The studies show no sign of poisoning, disease, or injury. ",none,Supported,They could have starved.,They aren't being poisoned or being killed from blood loss.,Other species,It could affect anything that needs fish to survive.,We think it's different.,"Sea Grass is needed for animals to survive, and it's disappearing in the IRL "
uniwhale (9),"if the death rate of manatees and human interaction are related, it is probable that the reason for this is bio-toxins, as well as temperature change",Manatees,"They are mammals, and have a weaker immune system. If they are dying out because of a disease, then it might turn into a problem for humans in the future.","If human interaction and the contamination level of manatees are related, the more human interaction given to them, the more manatees become infected.","Manatees have a low immune system, and diseases have been the cause of mass death patterns throughout the world. Seeing as humans are the most dominate species on the planet, it makes sense that we would transmit it.","Studying how much exposure the manatees get, then how they react. ",Necropsy of Affected Manatees,"anything out of the ordinary. Discoloration, swelling, and overly weakened muscles are some examples."," Conclusions:my hypothesis is refuted, there aren't any signs of infection or sickness.",Seagrass Examination,"any new discoloration, possibly new records of lacking or overly populated areas.","
                                                              What does this graph tell you:it is lessening, so there is more competition for food
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?its a possibility. The loss of food must be taking a toll on the population, though it may not be the main reason.
                                                              Why?the less food a species has, the less can survive.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?Since they eat so much, they cannot survive on a lack of food.
                                                              How would you test to see if that is the cause?see what the least amount of sea grass a manatee can survive on",,,,,,,,,,,"None, my hypothesis was not supported.",the loss of sea grass is supporting that the lack of food is killing off of the manatees.,neither,neither,I can conclude that the lack of food is playing a large part in their disappearance. ,Other species as well.,many different species use the sea grass for shelter and/or food. ,different. ,"That is thought to be caused by a pathogen killing them off, while this seems to be a lack of food."
SeaLeopard (10),human activity or pollution.,Manatees,they are endangered and they are great,Human activity and pollution may be the cause of unusual mortality events.,They both cause many other environmental issues.,"Study manatees that are living in a polluted area, then study manatees in a non-polluted area and compare the behaviors.",Necropsy of Affected Manatees,pollutants that infected the body, Conclusions:They could of ate polluted sea grass.,Seagrass Examination,pollutants,"
                                                              What does this graph tell you:there wasn't much sea grass.
                                                              Do you think the loss of seagrass is contributing to the unusual mortality event?yes
                                                              Why?because they cant eat as much.
                                                              Since manatees eat over 100 pounds of seagrass everyday, other than loss of seagrass, how else could seagrass contribute to manatee deaths?The sea grass could contain the pollutants that kill manatees
                                                              How would you test to see if that is the cause?take a sample of sea grass and test it for pollutants.",,,,,,,,,,,There wasn't as much sea grass and the manatees stomachs were inflamed.,we saw dead manatees,supported,Because there was pollution.,we conclude that pollution is affecting manatee death.,others,it is specific to manatees because seagrass is ther main diet,same,because there is a lot of pollution in that area.
